Lp;Nr paczki;Wysokość (cm);Szerokość (cm);Długość (cm);Waga (kg)
5268;EK3U6;11;23;23;13
5269;R3UA3;28;14;14;10
5270;RXEBH;8;12;12;5
5271;KABN9;15;20;20;10
5272;W5G9K;19;11;11;14
5273;P2NV7;15;6;6;11
5274;P2GHM;23;9;9;6
5275;DZFXZ;27;18;18;8
5276;9FPDG;15;11;11;10
5277;WNHY3;17;11;11;15
5278;GMWPL;29;22;22;0
5279;84DLQ;30;11;11;11
5280;A2HH9;10;27;27;9
5281;ULY2A;8;6;6;5
5282;QZF64;9;28;28;6
5283;NTHVH;20;5;5;1
5284;B4VXJ;30;9;9;8
5285;8VCB8;13;6;6;6
5286;TCY2K;30;29;29;3
5287;YMWPD;7;18;18;2
5288;W5542;18;13;13;1
5289;YHK74;19;29;29;10
5290;S9XEW;8;23;23;2
5291;7CJAD;28;29;29;11
5292;GUG7M;26;28;28;1
5293;RVYEA;22;13;13;9
5294;426XV;14;13;13;7
5295;WM47K;25;24;24;14
5296;XQJLU;30;13;13;1
5297;7JWFK;30;10;10;2
5298;2N68K;25;29;29;3
5299;HQ77U;25;10;10;13
5300;72L3P;24;11;11;6
5301;8P32M;7;26;26;8
5302;CP3M2;21;19;19;4
5303;MJB9Q;5;8;8;8
5304;M25HY;9;12;12;0
5305;FQECN;7;11;11;4
5306;YAEB3;13;8;8;3
5307;U9HM2;15;30;30;13
5308;VQGN4;26;14;14;8
5309;82CA2;5;22;22;13
5310;TMSNU;11;23;23;14
5311;GTAMW;29;6;6;9
5312;NCWTE;8;5;5;2
5313;PDDXR;28;28;28;4
5314;6J7CX;27;5;5;11
5315;ZAP4A;28;30;30;2
5316;FNNX3;24;29;29;9
5317;86L8H;13;12;12;12
5318;8MKV6;18;17;17;5
5319;PAATY;5;17;17;14
5320;RP9PS;5;21;21;0
5321;WFTB9;20;24;24;14
5322;UGN86;13;16;16;1
5323;F62S5;5;8;8;0
5324;9QHJB;29;16;16;14
5325;EYCEJ;27;26;26;8
5326;3VX2A;23;9;9;1
5327;FPFYQ;18;17;17;8
5328;FKXTH;8;21;21;7
5329;TZDKH;13;14;14;12
5330;9KYGU;5;30;30;8
5331;2LJ4Q;30;29;29;11
5332;SWCGP;28;25;25;2
5333;DN4JD;24;18;18;4
5334;KQN9A;8;30;30;13
5335;WSZZ4;7;12;12;3
5336;8ZEW7;13;28;28;6
5337;YNH9H;26;21;21;3
5338;YS62Z;29;29;29;4
5339;K5EDE;15;9;9;8
5340;HPVWN;7;8;8;8
5341;VJ7MA;5;17;17;7
5342;2KZ68;26;17;17;13
5343;WVM6U;30;24;24;8
5344;VUDRM;7;25;25;9
5345;42H96;22;26;26;5
5346;NGK95;22;16;16;3
5347;XVEV8;19;30;30;5
5348;EMJ5H;7;14;14;15
5349;GS4UP;11;23;23;13
5350;PFATW;20;10;10;1
5351;MNPVM;17;27;27;2
5352;K9UU9;20;11;11;12
5353;PJUT5;17;9;9;11
5354;TYH3U;6;18;18;2
5355;QACKU;14;11;11;10
5356;RZ2RJ;8;10;10;0
5357;N5X3R;7;27;27;13
5358;ACRUX;26;18;18;2
5359;QA8BU;20;28;28;11
5360;4UJBN;19;23;23;15
5361;4SN64;16;13;13;14
5362;9NTZ6;13;5;5;2
5363;4D2R7;23;22;22;15
5364;HSAZC;12;23;23;1
5365;YGDWJ;27;24;24;12
5366;XQ47S;17;29;29;3
5367;H2AVX;30;19;19;7
5368;4VBNL;17;13;13;7
5369;8GQZY;5;9;9;10
5370;M9GNY;18;12;12;9
5371;KC6NY;11;11;11;0
5372;ECF9A;29;10;10;2
5373;YH2Y5;14;22;22;15
5374;PTQR8;19;29;29;6
5375;2PEGE;16;14;14;4
5376;5UDB8;30;9;9;3
5377;4MAZ2;18;8;8;12
5378;Z5475;11;9;9;9
5379;4VDUL;23;11;11;3
5380;8A6NR;27;28;28;15
5381;4F79N;28;21;21;0
5382;B48F6;11;7;7;10
5383;79J8Y;24;30;30;12
5384;AYU4V;6;23;23;3
5385;QXHTJ;26;26;26;7
5386;USKQ6;29;10;10;8
5387;2KBXJ;20;8;8;15
5388;PZDN7;12;16;16;8
5389;9L7HJ;7;29;29;12
5390;WJ9HD;17;9;9;15
5391;UY24J;17;8;8;7
5392;BP2L5;9;30;30;2
5393;XDFY3;5;12;12;12
5394;PESTT;21;25;25;14
5395;QS5N2;29;9;9;10
5396;EABDJ;9;7;7;5
5397;EY87T;29;8;8;13
5398;G889K;19;5;5;13
5399;4WN9L;25;18;18;15
5400;FPRY8;29;10;10;7
5401;BFR7T;10;25;25;10
5402;JBUKF;12;25;25;4
5403;4P53M;28;8;8;1
5404;N9LM8;7;27;27;5
5405;VFUAE;6;15;15;10
5406;7GTP7;13;15;15;1
5407;RRC9N;19;23;23;3
5408;WHQHS;25;6;6;12
5409;VB7R4;20;8;8;1
5410;J64UH;16;26;26;11
5411;3GPNH;30;23;23;5
5412;TLPDZ;20;28;28;6
5413;LVHPU;6;12;12;6
5414;VC3BK;22;18;18;1
5415;KXMHF;6;28;28;10
5416;GSBAD;18;7;7;8
5417;K3KYG;17;14;14;10
5418;SJS8M;6;30;30;7
5419;JK9RZ;25;13;13;5
5420;TC3LE;18;29;29;2
5421;DW4R5;26;11;11;4
5422;9XNBX;9;28;28;11
5423;RMR3B;9;16;16;8
5424;XKLGJ;20;12;12;2
5425;YQTX7;5;23;23;11
5426;JGACT;5;14;14;5
5427;FGG9X;7;23;23;11
5428;C9LQA;25;23;23;14
5429;A7NSY;5;17;17;0
5430;QFA2N;25;28;28;10
5431;JQ44E;19;5;5;6
5432;2CM2F;20;9;9;11
5433;78MD8;22;16;16;3
5434;BF7MV;21;19;19;13
5435;8NTL6;22;26;26;14
5436;J2CJS;18;18;18;15
5437;QT9KM;28;11;11;6
5438;DBQQ4;27;23;23;12
5439;WN2AR;21;23;23;7
5440;YBWWP;11;7;7;8
5441;JU336;10;26;26;12
5442;YBX2L;13;7;7;5
5443;GH6FS;6;21;21;15
5444;HKTY2;21;15;15;15
5445;MLEEL;10;28;28;14
5446;V5NJR;8;22;22;2
5447;3TCVL;19;16;16;3
5448;9LNWC;25;16;16;4
5449;Z4KVA;12;24;24;13
5450;35KMT;26;6;6;8
5451;CZ6G6;17;18;18;8
5452;H4ZVC;6;17;17;0
5453;HPWKB;29;28;28;2
5454;8KMM8;28;25;25;11
5455;QD32Y;28;5;5;6
5456;3TUD7;7;30;30;9
5457;EGWAN;12;29;29;11
5458;SHHJ5;30;8;8;9
5459;LRK83;22;8;8;5
5460;L7CYJ;7;21;21;2
5461;BEN46;15;10;10;5
5462;DWQXZ;9;25;25;11
5463;N38A4;11;6;6;9
5464;LTBU3;22;23;23;4
5465;76KG4;11;23;23;4
5466;CTZFH;30;19;19;7
5467;AHNPB;16;19;19;6
5468;KSX2F;8;5;5;9
5469;PE9MF;14;28;28;10
5470;3YY5J;21;16;16;9
5471;S2F38;15;26;26;4
5472;96SZC;28;25;25;9
5473;22KEF;19;7;7;3
5474;MQXAG;26;20;20;15
5475;5QM44;6;21;21;8
5476;SWSHR;28;12;12;0
5477;3ZH9T;13;5;5;8
5478;G8PZY;6;24;24;9
5479;SRR3W;19;11;11;1
5480;WECLF;28;18;18;8
5481;JGVVA;21;7;7;11
5482;QEX9M;13;11;11;4
5483;E2CN2;27;29;29;10
5484;WVYBL;8;9;9;5
5485;PU46M;6;14;14;7
5486;QTSS5;23;25;25;15
5487;Y3BLP;29;23;23;13
5488;C2TZZ;19;21;21;11
5489;76S9J;23;18;18;14
5490;JV69X;25;22;22;13
5491;HNHBK;10;10;10;12
5492;VR4E9;11;19;19;1
5493;X43ZE;5;16;16;0
5494;G372T;14;20;20;8
5495;WXQFX;12;10;10;8
5496;ZPKVP;18;15;15;12
5497;844G5;7;19;19;9
5498;D4M79;13;21;21;2
5499;LV3EM;28;5;5;4
5500;8LF5D;11;5;5;12
5501;YS2FX;27;5;5;6
5502;P6DYR;21;8;8;5
5503;SXLL6;24;30;30;11
5504;FQYSN;27;6;6;7
5505;X5AR9;10;12;12;15
5506;MQLTK;21;21;21;4
5507;PJ4FP;29;18;18;6
5508;RVKVL;18;8;8;8
5509;2E9CQ;14;16;16;14
5510;6J7U3;18;12;12;6
5511;KJWK2;20;24;24;8
5512;WXG9G;27;14;14;9
5513;SNQLU;18;14;14;14
5514;54GEQ;23;9;9;0
5515;S7UR9;10;23;23;9
5516;BMJ88;14;28;28;9
5517;BHHYT;11;15;15;14
5518;ALHHL;19;10;10;15
5519;PZY6C;23;22;22;1
5520;K27R6;5;27;27;1
5521;M947R;16;14;14;7
5522;485C6;14;12;12;15
5523;4DEC3;5;19;19;7
5524;YCE7K;23;25;25;8
5525;QMBFJ;18;30;30;7
5526;ERAB8;22;16;16;9
5527;7N8ZK;11;9;9;1
5528;PTJKW;21;26;26;15
5529;FDZKF;27;21;21;15
5530;TAJY8;12;22;22;12
5531;UFLWL;25;25;25;8
5532;U23V3;6;14;14;11
5533;2SFYJ;14;19;19;13
5534;RE4ZP;19;24;24;13
5535;Q7SGG;22;26;26;1
5536;Y2H9Q;13;29;29;1
5537;FTVRF;20;10;10;15
5538;8C72X;27;21;21;15
5539;YSG6G;16;30;30;0
5540;QNLKE;12;7;7;13
5541;22BJ8;10;10;10;2
5542;J9YR8;14;29;29;15
5543;FXS2E;16;16;16;0
5544;XZGVR;24;11;11;9
5545;6LACH;20;25;25;5
5546;GSVT4;6;23;23;9
5547;ZLU2U;9;20;20;9
5548;TAUJS;30;25;25;11
5549;TPFBG;22;9;9;1
5550;LZ7TL;7;13;13;4
5551;PPXPR;23;25;25;2
5552;6WARF;7;9;9;9
5553;4GSP9;23;7;7;1
5554;C8AXG;6;15;15;7
5555;TGVYH;21;29;29;3
5556;4B8ZV;29;17;17;7
5557;KEA8T;28;26;26;15
5558;S4FSL;11;18;18;13
5559;MMT52;17;21;21;14
5560;S8ZTW;24;7;7;11
5561;7C4T3;6;14;14;2
5562;CM5BD;18;24;24;9
5563;QMJQK;17;10;10;14
5564;38E9R;29;5;5;15
5565;QM59H;22;12;12;9
5566;VSGLB;10;7;7;12
5567;4JEX4;9;7;7;8
5568;82F33;24;11;11;14
5569;KHFTY;6;26;26;8
5570;QMXVM;27;20;20;9
5571;ECZ9B;16;9;9;5
5572;8VUF8;19;8;8;9
5573;WAG2Y;12;7;7;4
5574;BYQGR;21;19;19;3
5575;JSZPB;23;27;27;1
5576;P6PCR;7;18;18;10
5577;2HTRG;14;15;15;5
5578;VQ3FV;6;16;16;5
5579;23V8U;11;8;8;7
5580;L9K2G;6;13;13;14
5581;2AZSQ;18;19;19;12
5582;37LGA;9;10;10;4
5583;48HMQ;8;19;19;1
5584;P96HF;17;14;14;7
5585;S99E8;7;22;22;14
5586;TQ84G;18;18;18;12
5587;FVH6D;26;10;10;11
5588;XXBA6;22;18;18;14
5589;B44JG;13;18;18;12
5590;KYGG8;26;7;7;6
5591;MY8L4;20;16;16;8
5592;66K5Y;8;20;20;15
5593;SBLZ8;17;20;20;2
5594;QPWRQ;29;22;22;3
5595;STJM4;9;30;30;3
5596;RXTX5;18;18;18;11
5597;RBTPM;29;23;23;10
5598;NLHXG;29;19;19;5
5599;8FHJ7;18;24;24;4
5600;GZL4G;18;30;30;6
5601;2M2BZ;22;9;9;6
5602;VTNEG;13;12;12;15
5603;HVJ2A;14;29;29;5
5604;VEM54;7;9;9;11
5605;T3A3C;21;8;8;0
5606;793J4;25;7;7;10
5607;ABF3C;30;14;14;13
5608;6NWJS;6;18;18;3
5609;5RDDJ;23;23;23;2
5610;EYPRU;11;29;29;15
5611;HBNH4;18;28;28;8
5612;QF4JP;8;6;6;5
5613;WKQ4C;27;16;16;3
5614;TYRF9;10;22;22;12
5615;9ARDD;16;12;12;0
5616;ZJ4EZ;17;16;16;2
5617;NN32W;19;27;27;1
5618;WH3QS;26;20;20;2
5619;GD3X7;14;20;20;7
5620;6GWMN;22;9;9;8
5621;VMNCR;28;28;28;2
5622;S4ZM9;27;15;15;3
5623;Q2MJT;9;5;5;6
5624;9623L;17;6;6;3
5625;K9PDW;19;14;14;0
5626;MA59M;23;10;10;7
5627;HUZWX;7;12;12;6
5628;GES7S;11;17;17;7
5629;RNJ5W;21;12;12;8
5630;35TUW;15;21;21;1
5631;65VL8;21;15;15;4
5632;JX8DW;13;8;8;5
5633;LLHC9;7;23;23;7
5634;7KEQG;23;20;20;2
5635;W7V62;23;17;17;7
5636;JYV3J;16;26;26;5
5637;HYE5A;28;5;5;10
5638;DDXCH;22;17;17;15
5639;LPUUR;12;12;12;10
5640;TS2X8;8;5;5;8
5641;9K6VG;15;28;28;11
5642;W56JW;23;21;21;2
5643;FSMLM;28;16;16;15
5644;MPRBR;30;23;23;0
5645;YN7J9;28;25;25;1
5646;P3SGR;25;27;27;5
5647;QF2M2;16;21;21;12
5648;99W6J;9;13;13;15
5649;KB2WM;13;27;27;4
5650;E93VA;24;7;7;3
5651;KLPGV;15;13;13;6
5652;NVP63;18;17;17;12
5653;6M9XY;29;9;9;0
5654;ZWYMS;9;25;25;4
5655;9WUZJ;13;12;12;2
5656;86JZS;12;12;12;2
5657;KA4YG;6;21;21;14
5658;QC359;7;29;29;2
5659;VZLUN;23;20;20;15
5660;BKAZX;22;11;11;9
5661;TYLDQ;23;22;22;5
5662;VBL52;30;14;14;2
5663;5E2Y4;23;13;13;10
5664;9E729;10;6;6;12
5665;7MYH8;24;10;10;13
5666;DKHDA;18;12;12;12
5667;7WZH2;5;18;18;1
5668;F44SY;11;13;13;9
5669;UN5MC;30;9;9;3
5670;XLGVD;21;20;20;8
5671;GSR62;13;16;16;12
5672;P9BXD;7;13;13;12
5673;CU234;20;25;25;11
5674;S9XLS;29;20;20;10
5675;N77HK;23;30;30;14
5676;97VGS;23;21;21;1
5677;ZNBHJ;27;26;26;0
5678;4XJ6L;24;8;8;15
5679;M87E2;8;20;20;11
5680;2X2QA;20;19;19;2
5681;K47GB;14;15;15;4
5682;GF84N;13;7;7;2
5683;RU2S4;27;15;15;4
5684;AMRKH;20;28;28;8
5685;4XGZ3;19;21;21;12
5686;9SQZ8;9;20;20;6
5687;QB2NH;27;6;6;11
5688;4VP2Q;23;29;29;9
5689;3HBT2;22;14;14;12
5690;5UEL6;22;15;15;14
5691;METU6;8;22;22;2
5692;LTN3K;10;7;7;13
5693;LJLDW;14;10;10;0
5694;U7JAY;13;20;20;10
5695;Y48ZN;5;16;16;10
5696;YV957;21;6;6;11
5697;5GBN2;22;23;23;11
5698;8YLLS;13;11;11;15
5699;VX272;8;26;26;9
5700;PRYXS;8;27;27;1
5701;NNLLE;16;24;24;6
5702;YBZX6;19;27;27;1
5703;WSDY7;9;5;5;8
5704;6WWG9;23;30;30;11
5705;E3W6Z;26;20;20;9
5706;PLHE9;21;18;18;4
5707;ZSNC5;23;26;26;3
5708;S26HQ;8;18;18;2
5709;3697V;20;13;13;12
5710;63JSA;19;14;14;8
5711;HW46T;8;27;27;15
5712;TL52Q;24;20;20;14
5713;5S9HU;15;25;25;12
5714;5ZMZ9;7;9;9;11
5715;3T53Q;5;22;22;1
5716;QXJYG;11;20;20;9
5717;J85C5;6;20;20;12
5718;NWFJN;26;16;16;3
5719;WD7WL;25;24;24;0
5720;RRC5G;29;22;22;2
5721;BX27Q;30;5;5;0
5722;HMERC;25;24;24;0
5723;LZBF4;25;6;6;5
5724;6UQB4;18;23;23;1
5725;5Y82L;22;9;9;8
5726;KJ3ME;23;18;18;1
5727;AP32L;27;14;14;3
5728;H9YMQ;27;9;9;0
5729;3YG45;17;9;9;12
5730;AYQR2;9;11;11;10
5731;KLQHD;13;28;28;13
5732;2SNT6;5;8;8;3
5733;STKKL;29;17;17;6
5734;WSKL6;28;16;16;0
5735;2DU97;20;23;23;8
5736;QAV7R;11;5;5;9
5737;MG44P;16;27;27;9
5738;7U8KD;30;20;20;12
5739;44XED;25;13;13;3
5740;92WKC;9;8;8;2
5741;TCGEB;21;19;19;6
5742;DVBZS;19;19;19;10
5743;TDYM7;15;5;5;15
5744;EJRCU;23;11;11;10
5745;V7PKB;15;24;24;2
5746;TK3FU;30;19;19;8
5747;6ZXC5;20;16;16;14
5748;YGQ27;14;10;10;11
5749;8KBXX;15;19;19;15
5750;838Q5;11;15;15;7
5751;TC38M;19;24;24;2
5752;4RWWX;26;18;18;10
5753;HTN7V;6;13;13;13
5754;HW4YN;25;14;14;6
5755;ZXY2L;27;7;7;12
5756;MZEKF;16;23;23;11
5757;A4H33;17;6;6;10
5758;VVJHJ;17;12;12;0
5759;7R3KN;25;10;10;11
5760;PTBHJ;12;23;23;15
5761;P97E2;6;26;26;12
5762;JSRN4;29;27;27;14
5763;WPX6G;6;24;24;15
5764;QR4YZ;17;7;7;6
5765;CWH68;5;28;28;9
5766;WKRXT;12;29;29;8
5767;ZDSXH;17;17;17;3
5768;J722L;13;12;12;2
5769;UPZHK;5;21;21;0
5770;8Y32N;5;27;27;5
5771;T5B2Z;15;26;26;12
5772;9PARC;29;16;16;10
5773;UGFC6;22;13;13;11
5774;PM4GD;22;28;28;1
5775;E2S6A;29;6;6;15
5776;44YWU;19;30;30;13
5777;DFPF8;24;27;27;8
5778;FEMGV;18;11;11;11
5779;P24V5;17;13;13;8
5780;YBGSH;20;12;12;5
5781;LXA5T;27;26;26;13
5782;BYN2L;26;25;25;0
5783;96RPB;8;19;19;13
5784;QUF32;13;23;23;12
5785;2GSV4;10;20;20;8
5786;NK5U4;20;18;18;0
5787;D7RE2;18;27;27;12
5788;BGRP8;9;18;18;5
5789;3N4K3;15;16;16;11
5790;5ZMBS;15;21;21;2
5791;E4ZXP;29;20;20;0
5792;TBYPW;9;16;16;0
5793;STTAX;24;19;19;12
5794;LB53Q;6;18;18;14
5795;4U5W6;28;9;9;15
5796;WSWAT;26;15;15;15
5797;EFM64;7;5;5;12
5798;3Q5R5;27;14;14;13
5799;SAPBA;27;11;11;12
5800;DNB9F;9;17;17;8
5801;S32MQ;10;29;29;5
5802;XA8KA;27;27;27;4
5803;SQF6L;28;11;11;14
5804;AX26F;24;9;9;5
5805;WNFBQ;22;8;8;1
5806;GF4HE;18;10;10;9
5807;AZ72D;30;25;25;3
5808;MPDLZ;30;25;25;4
5809;E4FKZ;21;18;18;4
5810;RLPJG;7;13;13;2
5811;U6U28;19;18;18;10
5812;B8E5G;13;20;20;1
5813;J58FW;18;6;6;10
5814;BTCF5;14;17;17;12
5815;3KY8V;30;18;18;1
5816;QQ75Y;15;25;25;9
5817;EPVYG;28;12;12;12
5818;UZFYV;28;16;16;12
5819;N8RLE;21;18;18;12
5820;DNXFT;14;23;23;15
5821;T95H7;19;8;8;12
5822;QXMNS;17;25;25;0
5823;CS8XH;17;17;17;10
5824;FH9L8;23;21;21;13
5825;UY6BB;15;29;29;2
5826;AFQYM;22;20;20;4
5827;AHL5Q;29;20;20;0
5828;JLEVZ;22;18;18;13
5829;XYHWM;15;18;18;4
5830;R3VQE;24;30;30;12
5831;TB5QC;9;18;18;15
5832;6QJLE;15;18;18;15
5833;VLN7G;10;7;7;8
5834;5FS93;30;28;28;13
5835;HXRRL;5;27;27;8
5836;58EQN;21;20;20;2
5837;JAPDQ;10;12;12;5
5838;SA73M;16;13;13;7
5839;CNYQL;13;28;28;5
5840;6KSPK;22;25;25;1
5841;KW93E;29;22;22;12
5842;KWCPD;21;8;8;11
5843;RYD74;15;18;18;4
5844;UQ5RH;19;15;15;15
5845;GTW6A;17;18;18;2
5846;83LQG;28;20;20;5
5847;V25VT;25;24;24;12
5848;96GCL;25;18;18;9
5849;KUAPR;13;5;5;11
5850;598YR;10;7;7;8
5851;F6B33;5;21;21;10
5852;B2UMG;15;20;20;13
5853;298WU;22;11;11;10
5854;SVRYY;30;27;27;12
5855;49J5P;9;10;10;14
5856;ZYPXN;11;17;17;0
5857;75K8X;8;27;27;13
5858;C9PXM;8;27;27;1
5859;VQMUC;7;25;25;0
5860;8CXP2;20;8;8;9
5861;NJ2WD;27;26;26;15
5862;GM4VB;22;15;15;13
5863;GS7SR;10;13;13;7
5864;UVR9J;27;21;21;3
5865;4VYFF;13;23;23;3
5866;2EJQT;8;22;22;2
5867;A443R;29;12;12;1
5868;794ZU;17;10;10;13
5869;68D3R;13;19;19;4
5870;UNCBM;9;22;22;9
5871;L69BC;18;20;20;5
5872;E4GPJ;13;7;7;0
5873;2PDUG;9;28;28;10
5874;USGPJ;25;28;28;2
5875;2LH6E;17;23;23;5
5876;YQS2S;29;12;12;5
5877;6DN5E;9;15;15;12
5878;RA8XP;30;20;20;3
5879;HP5L9;13;19;19;9
5880;C7SJM;18;11;11;9
5881;2BX97;13;14;14;10
5882;3XNLQ;27;21;21;0
5883;7GTKB;25;30;30;5
5884;X2BWQ;7;30;30;2
5885;Q55KG;22;9;9;6
5886;5MEMW;29;18;18;15
5887;REXFD;5;11;11;2
5888;V839J;8;6;6;1
5889;H6R3G;20;13;13;3
5890;SR9UD;20;29;29;2
5891;PA9KL;16;5;5;12
5892;FEYKS;18;28;28;7
5893;M3XA8;21;19;19;8
5894;2V6UV;6;18;18;9
5895;F4RWV;17;29;29;9
5896;YFDYZ;9;13;13;10
5897;GD2FP;22;27;27;11
5898;DMU4W;17;16;16;14
5899;CFP2F;22;17;17;1
5900;MS3JD;25;24;24;5
5901;NQ86D;30;24;24;15
5902;TUJWJ;9;27;27;7
5903;A5N2B;26;24;24;0
5904;35NMX;21;10;10;1
5905;AQ5QG;13;15;15;4
5906;A4Z4C;27;30;30;14
5907;5GT3C;12;23;23;13
5908;WMX7A;13;13;13;7
5909;875MY;10;13;13;14
5910;6FTJT;6;12;12;3
5911;HK9C2;12;5;5;1
5912;GDU87;20;11;11;8
5913;X3EGU;30;22;22;3
5914;H5872;6;9;9;14
5915;86X4H;8;20;20;10
5916;MZN7A;23;21;21;8
5917;7FK7J;22;21;21;11
5918;BENVC;18;17;17;7
5919;LK5QR;22;16;16;15
5920;QXLPV;17;14;14;12
5921;CMR2G;18;14;14;9
5922;YE7DC;9;18;18;4
5923;7BHG8;14;22;22;10
5924;SJD66;17;16;16;2
5925;FHFBX;20;21;21;13
5926;WSM97;23;24;24;15
5927;8CKP4;16;20;20;10
5928;RE9NH;14;29;29;10
5929;BKJKS;16;24;24;8
5930;H43LY;26;27;27;5
5931;XS75T;6;5;5;10
5932;VSC8R;24;27;27;11
5933;97TJM;19;12;12;9
5934;NZRNE;30;29;29;13
5935;ZPP9Z;21;14;14;6
5936;8HTZU;29;25;25;5
5937;JPCGJ;26;25;25;5
5938;W32Y2;20;14;14;8
5939;HYY39;19;24;24;0
5940;BGZSU;29;29;29;12
5941;5HAKH;12;12;12;5
5942;ZHRK9;8;28;28;15
5943;CTNF2;28;27;27;2
5944;W3UPS;30;11;11;2
5945;MWHBQ;21;14;14;11
5946;GDW7W;13;16;16;7
5947;G36GC;12;10;10;6
5948;E8LVJ;30;10;10;3
5949;KX4X5;14;12;12;12
5950;ULXEZ;10;13;13;9
5951;GSNPT;6;19;19;5
5952;4WXQT;12;21;21;1
5953;KXLF6;6;28;28;13
5954;PK5Z7;26;11;11;11
5955;DAV7Y;27;15;15;14
5956;QRBDW;20;6;6;6
5957;3KEFZ;22;11;11;12
5958;YAMMR;12;5;5;8
5959;7XEJ4;28;28;28;11
5960;BXE6N;16;10;10;0
5961;B9PW6;9;10;10;10
5962;EDNGG;12;11;11;1
5963;B9SFF;30;30;30;1
5964;H6FVJ;12;17;17;4
5965;XS742;13;18;18;3
5966;25Q6Z;9;16;16;0
5967;57ZJU;12;23;23;4
5968;WPXAW;15;10;10;8
5969;6BWNH;27;18;18;4
5970;3WE9H;7;30;30;11
5971;NW2LR;14;16;16;8
5972;SCL88;11;17;17;11
5973;C354C;13;7;7;5
5974;QQSDR;23;24;24;7
5975;E9S2N;10;29;29;10
5976;2UA6U;24;21;21;10
5977;JKGAV;22;16;16;2
5978;YTXAR;27;9;9;10
5979;VDKR8;7;19;19;13
5980;N7N6B;26;6;6;1
5981;5BAN4;7;5;5;4
5982;NENPB;11;12;12;8
5983;9XLGY;10;22;22;10
5984;76HV7;22;26;26;3
5985;ZHAAY;23;25;25;14
5986;8NWMK;12;22;22;8
5987;XGMYV;26;26;26;11
5988;FCZUS;16;28;28;6
5989;2TGDZ;21;19;19;15
5990;6BWEW;19;26;26;10
5991;T55U5;20;29;29;9
5992;UTJH6;25;28;28;15
5993;U6D7U;25;9;9;11
5994;YDXQY;21;12;12;14
5995;FHJNL;16;6;6;13
5996;AJMWN;17;21;21;0
5997;AFJ6Z;17;14;14;15
5998;EQJNX;15;14;14;14
5999;F9UJ7;6;20;20;8
6000;F8B4P;6;17;17;13
6001;ZAW9N;10;15;15;4
6002;8AXLW;7;25;25;3
6003;CM3LH;9;21;21;11
6004;TQX35;24;21;21;5
6005;M848H;13;19;19;15
6006;2DG38;18;30;30;8
6007;VS8HS;12;21;21;3
6008;MGSBT;16;20;20;12
6009;ED68P;25;5;5;0
6010;DR63K;26;11;11;6
6011;ZFJUD;27;6;6;6
6012;RLGYE;30;26;26;12
6013;EKWDS;29;19;19;5
6014;FRZYS;20;23;23;14
6015;J5WF3;22;7;7;15
6016;CKK8C;15;18;18;2
6017;VYJ5J;21;23;23;13
6018;MMVUB;13;7;7;7
6019;ZZMN4;30;19;19;10
6020;6ULVJ;22;19;19;2
6021;46EQC;10;28;28;12
6022;8SMJR;24;22;22;2
6023;Q5FYZ;26;21;21;6
6024;QBDBV;24;29;29;0
6025;E3LSG;23;8;8;5
6026;FN2R9;16;22;22;14
6027;BL6F2;15;13;13;12
6028;8DKKN;18;18;18;4
6029;2ZH7P;11;13;13;7
6030;8MRCP;14;18;18;5
6031;DHGQZ;22;17;17;11
6032;NVDFD;28;8;8;3
6033;CHP9N;25;25;25;14
6034;G7SRG;29;7;7;7
6035;6H8EF;15;13;13;10
6036;NDS5F;15;13;13;7
6037;88NEN;16;15;15;1
6038;DTAGZ;16;6;6;12
6039;DK8TJ;14;24;24;13
6040;MZF5H;7;23;23;0
6041;N2QL7;22;16;16;11
6042;WZAFU;26;22;22;5
6043;FDTTJ;5;23;23;6
6044;7X485;24;12;12;4
6045;TCFRV;29;23;23;5
6046;P4LUY;11;30;30;1
6047;U9RAL;9;11;11;9
6048;NXBN4;12;11;11;9
6049;VU7EE;28;5;5;11
6050;GC3AB;10;20;20;13
6051;XTD4B;10;8;8;0
6052;YH6B4;18;21;21;1
6053;VV4CW;27;27;27;15
6054;ERLF6;18;25;25;9
6055;E3QC8;18;17;17;4
6056;VJBPK;23;18;18;14
6057;CC5F7;20;9;9;3
6058;6,60E+39;29;22;22;8
6059;9NU3R;13;6;6;8
6060;H89TD;30;28;28;11
6061;5Y6L3;15;25;25;5
6062;57B6L;9;11;11;12
6063;M8PGE;26;6;6;8
6064;LDBR6;7;18;18;9
6065;ARKVK;20;25;25;1
6066;34H2N;5;8;8;13
6067;LWCH9;5;29;29;5
6068;5C779;25;24;24;8
6069;HJ7XR;22;9;9;14
6070;C9VER;22;22;22;7
6071;SE83Z;19;21;21;0
6072;HVUQN;20;25;25;6
6073;83AAB;15;12;12;4
6074;A6E73;10;16;16;15
6075;DFCB4;22;21;21;2
6076;UD4FH;29;18;18;2
6077;LXNJR;24;13;13;3
6078;DSCX9;11;8;8;6
6079;RW2RW;19;20;20;15
6080;4ST8P;20;7;7;15
6081;MBUQC;29;26;26;8
6082;PAFHF;19;21;21;3
6083;PT544;8;26;26;14
6084;L7MPV;30;16;16;2
6085;L6HDM;10;6;6;8
6086;676P5;11;30;30;13
6087;K365H;19;29;29;7
6088;8KHES;22;26;26;1
6089;PUCJN;16;16;16;5
6090;7ULJ9;27;12;12;1
6091;7V5FY;15;9;9;8
6092;HCVDS;27;21;21;4
